speed_mps,make_probability,past_hole_inches
1.2,0.0,0.0
1.2714285714285714,0.0,0.0
1.3428571428571427,0.0,0.0
1.4142857142857141,0.0,0.0
1.4857142857142858,0.0,0.0
1.5571428571428572,0.0,0.0
1.6285714285714286,0.0,0.0
1.7000000000000002,0.008333333333333333,0.0
1.7714285714285714,0.19166666666666668,0.0
1.842857142857143,0.375,4.598100068760107
1.9142857142857144,0.5416666666666666,15.616433157858943
1.9857142857142858,0.375,27.100522754080043
2.057142857142857,0.325,38.27278125856949
2.1285714285714286,0.225,49.87066322106635
2.2,0.11666666666666667,62.314121897656555
